,Manager Name,Year,Month,AUM (crs),Turnover Ratio,Return
327,BELLWETHER CAPITAL PRIVATE LIMITED,2021,June,1554.25332,0.032,3.77
328,BELLWETHER CAPITAL PRIVATE LIMITED,2021,July,1625.37012,0.036,5.13
329,BELLWETHER CAPITAL PRIVATE LIMITED,2021,March,1396.95124,0.036,-1.45
330,BELLWETHER CAPITAL PRIVATE LIMITED,2021,April,1392.11464,0.05,-0.63
331,BELLWETHER CAPITAL PRIVATE LIMITED,2021,May,1494.81402,0.03,7.03
332,BELLWETHER CAPITAL PRIVATE LIMITED,2021,June,1554.25332,0.032,3.77
333,BELLWETHER CAPITAL PRIVATE LIMITED,2021,July,1625.37012,0.036,5.13
334,BHANA EQUITY ADVISORS LLP,2021,March,242.18142,0.187,4.54
335,BHANA EQUITY ADVISORS LLP,2021,April,275.24,0.028,11.44
336,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,March,1561.03,0.05,0.01
337,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,April,1557.04,0.03,0.64
338,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,May,1658.97,0.05,2.84
339,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,June,1627.11,0.09,0.19
340,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,July,1654.17,0.05,0.86
341,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,March,1561.03,0.05,0.01
342,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,April,1557.04,0.03,0.64
343,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,May,1658.97,0.05,2.84
344,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,June,1627.11,0.09,0.19
345,BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED,2021,July,1654.17,0.05,0.86
346,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,2021,March,12.6,0.08,0.92
347,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,2021,April,12.48,0.0,-1.09
348,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,2021,May,6.85,0.4,6.4
349,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,2021,June,6.3,0.17,2.47
350,BNP PARIBAS ASSET MANAGEMENT INDIA PRIVATE LIMITED,2021,July,6.55,0.19,3.64
351,BNP Paribas Asset Management India Private Limited,2021,March,12.6,0.08,0.92
352,BNP Paribas Asset Management India Private Limited,2021,April,12.48,0.0,-1.09
353,BNP Paribas Asset Management India Private Limited,2021,May,6.85,0.4,6.4
354,BNP Paribas Asset Management India Private Limited,2021,June,6.3,0.17,2.47
355,BNP Paribas Asset Management India Private Limited,2021,July,6.55,0.19,3.64
356,BONANZA PORTFOLIO LIMITED,2021,March,42.07723,0.14939,5.18
357,BONANZA PORTFOLIO LIMITED,2021,April,43.27466,0.226,0.8
358,BONANZA PORTFOLIO LIMITED,2021,May,43.66921,0.18538,14.61
359,BONANZA PORTFOLIO LIMITED,2021,June,44.43415,0.18527,5.63
360,BONANZA PORTFOLIO LIMITED,2021,July,48.92672,0.143,15.15
361,BONANZA PORTFOLIO LIMITED,2021,March,42.07723,0.14939,5.18
362,BONANZA PORTFOLIO LIMITED,2021,April,43.27466,0.226,0.8
363,BONANZA PORTFOLIO LIMITED,2021,May,43.66921,0.18538,14.61
364,BONANZA PORTFOLIO LIMITED,2021,June,44.43415,0.18527,5.63
365,BONANZA PORTFOLIO LIMITED,2021,July,48.92672,0.143,15.15
366,Buoyant Capital Private Limited,2021,April,150.03,0.08,3.84
367,Buoyant Capital Private Limited,2021,May,167.63,0.06,9.73
368,Buoyant Capital Private Limited,2021,June,184.53,0.08,5.61
369,Buoyant Capital Private Limited,2021,July,212.01,0.12,9.58
370,Burman Capital Management Private Limited,2021,March,20.13,0.01,0.0
371,Burman Capital Management Private Limited,2021,April,21.95,0.12,6.45
372,Burman Capital Management Private Limited,2021,May,23.21,0.04,5.71
373,Burman Capital Management Private Limited,2021,June,23.08,0.12,-0.55
374,Burman Capital Management Private Limited,2021,July,24.82,0.1,7.54
375,Capgrow Capital Advisors LLP,2021,March,92.65,0.12,-0.1
376,Capgrow Capital Advisors LLP,2021,April,97.84,0.05,2.08
377,Capgrow Capital Advisors LLP,2021,May,108.28,0.1,7.65
378,Capgrow Capital Advisors LLP,2021,June,117.73,0.07,5.78
379,Capgrow Capital Advisors LLP,2021,July,126.7,0.06,2.58
380,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE,2021,March,43.05,0.02,1.23
381,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE,2021,March,43.05,0.02,1.23
382,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,2021,March,287.61,0.04,2.02
383,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,2021,April,319.76,0.07,11.29
384,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,2021,May,375.17,0.13,17.19
385,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,2021,June,396.49,0.03,6.35
386,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,2021,July,443.45,0.07,13.49
387,Care Portfolio Managers Private Limited,2021,March,287.61,0.04,2.02
388,Care Portfolio Managers Private Limited,2021,April,319.76,0.07,11.29
389,Care Portfolio Managers Private Limited,2021,May,375.17,0.13,17.19
390,Care Portfolio Managers Private Limited,2021,June,396.49,0.03,6.35
391,Care Portfolio Managers Private Limited,2021,July,443.45,0.07,13.49
392,Carnelian Asset Advisors Private Limited,2021,March,76.83,0.15,3.24
393,Catalytic Solution and Management Services Private Limited,2021,March,4.23,0.08,-0.08
394,Catalytic Solution and Management Services Private Limited,2021,April,3.9,0.16,6.42
395,Catalytic Solution and Management Services Private Limited,2021,May,8.29,0.4,4.55
396,Catalytic Solution and Management Services Private Limited,2021,June,8.33,0.41,0.43
397,CENTRUM BROKING LIMITED,2021,March,299.20051,0.142,5.53
398,CENTRUM BROKING LIMITED,2021,April,308.71279,0.129,-1.06
399,CENTRUM BROKING LIMITED,2021,May,341.93968,0.118,3.18
400,CENTRUM BROKING LIMITED,2021,June,368.56349,0.128,1.51
401,CENTRUM BROKING LIMITED,2021,July,405.23099,0.093,3.15
402,Centrum Broking Limited,2021,March,299.20051,0.142,5.53
403,Centrum Broking Limited,2021,April,308.71279,0.129,-1.06
404,Centrum Broking Limited,2021,May,341.93968,0.118,3.18
405,Centrum Broking Limited,2021,June,368.56349,0.128,1.51
406,Centrum Broking Limited,2021,July,405.23099,0.093,3.15
407,Chanakya Capital Services Private Limited,2021,March,106.0519,0.0076,-1.4256
408,Chanakya Capital Services Private Limited,2021,April,108.92,0.0,2.75
409,Chanakya Capital Services Private Limited,2021,May,118.47,0.03,7.88
410,Chanakya Capital Services Private Limited,2021,June,122.08,0.02,3.18
411,Chanakya Capital Services Private Limited,2021,July,125.15,0.02,2.4
412,Choice Portfolio Management Services Private Limited.,2021,March,0.28,0.0,0.26
413,Choice Portfolio Management Services Private Limited.,2021,April,0.28,0.0,-1.83
414,Choice Portfolio Management Services Private Limited.,2021,May,0.29,0.0,5.38
415,Choice Portfolio Management Services Private Limited.,2021,June,0.3,0.0,2.36
416,Choice Portfolio Management Services Private Limited.,2021,July,0.31,0.0,4.08
417,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,March,235309778.08,0.05497,3.5
418,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,April,242531254.78,0.02526,-0.6
419,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,May,27.4427,0.07742,5.36
420,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,June,29.2858,0.08184,2.39
421,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,July,31.0399,0.03219,2.6
422,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,March,235309778.08,0.05497,3.5
423,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,April,242531254.78,0.02526,-0.6
424,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,May,27.4427,0.07742,5.36
425,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,June,29.2858,0.08184,2.39
426,CHONA FINANCIAL SERVICES PRIVATE LTD.,2021,July,31.0399,0.03219,2.6
427,CLUBMILLIONAIRE FINANCIAL SERVICES PRIVATE LIMITED,2021,March,1797.91,0.02,-1.8
428,Clubmillionaire Financial Services Private Limited,2021,March,1797.91,0.02,-1.8
429,COMPOSITE INVESTMENTS PRIVATE LIMITED,2021,March,162.68,0.09,-1.54
430,COMPOSITE INVESTMENTS PRIVATE LIMITED,2021,April,163.2,0.09,4.92
431,COMPOSITE INVESTMENTS PRIVATE LIMITED,2021,May,175.82,0.14,9.98
432,COMPOSITE INVESTMENTS PRIVATE LIMITED,2021,June,193.3,0.18,5.38
433,COMPOSITE INVESTMENTS PRIVATE LIMITED,2021,July,216.13,0.09,3.86
434,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP,2021,March,19.04,0.02,-0.63
435,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP,2021,April,20.14,0.04,1.75
436,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP,2021,May,21.33,0.0,5.93
437,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP,2021,June,21.83,0.02,2.32
438,COMPOUND EVERYDAY CAPITAL MANAGEMENT LLP,2021,July,23.26,0.06,4.75
439,CONCEPT INVESTWELL PRIVATE LIMITED,2021,March,39.37522,0.131,1.11
440,CONCEPT INVESTWELL PRIVATE LIMITED,2021,April,40.55704,0.032,0.44
441,CONCEPT INVESTWELL PRIVATE LIMITED,2021,May,42.96124,0.083,8.37
442,CONCEPT INVESTWELL PRIVATE LIMITED,2021,June,43.8512,0.009,1.98
443,CONCEPT INVESTWELL PRIVATE LIMITED,2021,July,45.51016,0.039,3.45
444,CONSORTIUM SECURITIES PVT. LTD.,2021,March,36.29,0.06,1.07
445,CONSORTIUM SECURITIES PVT. LTD.,2021,April,38.85,0.06,3.64
446,CONSORTIUM SECURITIES PVT. LTD.,2021,May,45.24,0.0,14.64
447,CONSORTIUM SECURITIES PVT. LTD.,2021,June,52.64,0.08,16.91
448,CONSORTIUM SECURITIES PVT. LTD.,2021,July,42.51,0.02,8.02
449,Consortium Securities Pvt. Ltd.,2021,March,36.29,0.06,1.07
450,Consortium Securities Pvt. Ltd.,2021,April,38.85,0.06,3.64
451,Consortium Securities Pvt. Ltd.,2021,May,45.24,0.0,14.64
452,Consortium Securities Pvt. Ltd.,2021,June,52.64,0.08,16.91
453,Consortium Securities Pvt. Ltd.,2021,July,42.51,0.02,8.02
454,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,2021,March,8.62,0.01,-0.51
455,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,2021,April,9.52,0.1,10.39
456,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,2021,May,11.32,0.21,20.61
457,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,2021,June,13.31,0.3,10.21
458,COUNTER CYCLICAL INVESTMENTS PRIVATE LIMITED,2021,July,16.69,0.14,16.03
459,Credent Asset Management Services Private Limited,2021,March,9.06,0.11,-1.15
460,Credent Asset Management Services Private Limited,2021,April,9.29,0.06,5.6
461,Credent Asset Management Services Private Limited,2021,May,10.45,0.01,12.56
462,Credent Asset Management Services Private Limited,2021,June,11.53,0.14,10.31
463,Credent Asset Management Services Private Limited,2021,July,10.85,0.1,5.34
464,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,March,1470.58,0.06,-0.84
465,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,April,1484.6,0.03,2.63
466,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,May,1520.82,0.06,8.71
467,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,June,1579.07,0.08,3.66
468,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,July,1618.89,0.08,2.63
469,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,March,1470.58,0.06,-0.84
470,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,April,1484.6,0.03,2.63
471,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,May,1520.82,0.06,8.71
472,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,June,1579.07,0.08,3.66
473,"CREDIT SUISSE SECURITIES (INDIA) PRIVATE LIMITED (""CS INDIA"")",2021,July,1618.89,0.08,2.63
474,CRESCITA INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,March,11.45,0.24,0.74
475,CRESCITA INVESTMENT MANAGEMENT PRIVATE LIMITED,2021,April,10.97,0.07,0.44
476,Crescita Investment Management Private Limited,2021,March,11.45,0.24,0.74
477,Crescita Investment Management Private Limited,2021,April,10.97,0.07,0.44
478,Crest Wealth Management Private Limited,2021,March,99.4198,0.1409,0.6703
479,Crest Wealth Management Private Limited,2021,April,118.23,0.07,0.0
480,Crest Wealth Management Private Limited,2021,May,128.73,0.14,5.6
481,Crest Wealth Management Private Limited,2021,June,142.34,0.07,2.14
482,Crest Wealth Management Private Limited,2021,July,142.34,0.07,2.14
483,DALAL & BROACHA STOCK BROKING PVT. LTD.,2021,March,363.17302,0.016,1.18
484,DALAL & BROACHA STOCK BROKING PVT. LTD.,2021,April,365.30023,0.037,1.13
485,DALAL & BROACHA STOCK BROKING PVT. LTD.,2021,May,389.46001,0.041,4.27
486,DALAL & BROACHA STOCK BROKING PVT. LTD.,2021,June,408.24495,0.05,8.39
487,DALAL & BROACHA STOCK BROKING PVT. LTD.,2021,July,424.58911,0.086,0.11
488,Dalal & Broacha Stock Broking Pvt. Ltd.,2021,March,363.17302,0.016,1.18
489,Dalal & Broacha Stock Broking Pvt. Ltd.,2021,April,365.30023,0.037,1.13
490,Dalal & Broacha Stock Broking Pvt. Ltd.,2021,May,389.46001,0.041,4.27
491,Dalal & Broacha Stock Broking Pvt. Ltd.,2021,June,408.24495,0.05,8.39
492,Dalal & Broacha Stock Broking Pvt. Ltd.,2021,July,424.58911,0.086,0.11
493,DARASHAW & COMPANY LTD,2021,March,255.1051,2.647,-3.18
494,DARASHAW & COMPANY LTD,2021,March,255.1051,2.647,-3.18
495,Decimal Wealth Partners Pvt Ltd,2021,March,22.29,0.05,-1.11
496,Decimal Wealth Partners Pvt Ltd,2021,April,22.1,0.01,-0.89
497,Decimal Wealth Partners Pvt Ltd,2021,May,23.37,0.01,6.22
498,Decimal Wealth Partners Pvt Ltd,2021,June,23.23,0.02,1.79
499,Decimal Wealth Partners Pvt Ltd,2021,July,23.53,0.11,1.47
500,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,March,480.6238,0.0259,0.7685
501,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,April,510.26,0.02,0.45
502,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,May,539.43,0.03,1.68
503,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,June,548.74,0.07,0.44
504,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,July,567.64,0.05,0.53
505,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,March,480.6238,0.0259,0.7685
506,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,April,510.26,0.02,0.45
507,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,May,539.43,0.03,1.68
508,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,June,548.74,0.07,0.44
509,DEUTSCHE INVESTMENTS INDIA PRIVATE LIMITED,2021,July,567.64,0.05,0.53
510,DGS CAPITAL MANAGEMENT PRIVATE LIMITED,2021,March,95.63,0.0,-0.34
511,DGS CAPITAL MANAGEMENT PRIVATE LIMITED,2021,March,95.63,0.0,-0.34
512,DMZ Partners Investment Management LLP,2021,March,280.97,0.01,1.63
513,DOHA BROKERAGE AND FINANCIAL SERVICES LTD,2021,March,5.0,0.62,-1.66
514,DOHA BROKERAGE AND FINANCIAL SERVICES LTD,2021,March,5.0,0.62,-1.66
515,DYNAMIC EQUITIES PRIVATE LIMITED,2021,March,80201391.44,1.69381,0.32
516,DYNAMIC EQUITIES PRIVATE LIMITED,2021,April,8.1652,1.56652,1.53
517,DYNAMIC EQUITIES PRIVATE LIMITED,2021,May,8.2575,2.47136,1.91
518,DYNAMIC EQUITIES PRIVATE LIMITED,2021,June,7.8067,1.97577,2.53
519,DYNAMIC EQUITIES PRIVATE LIMITED,2021,July,7.687,1.9047,-0.08
520,Dynamic Equities Private Limited,2021,March,80201391.44,1.69381,0.32
521,Dynamic Equities Private Limited,2021,April,8.1652,1.56652,1.53
522,Dynamic Equities Private Limited,2021,May,8.2575,2.47136,1.91
523,Dynamic Equities Private Limited,2021,June,7.8067,1.97577,2.53
524,Dynamic Equities Private Limited,2021,July,7.687,1.9047,-0.08
525,East Lane Capital LLP,2021,March,279.0682,0.102,2.8612
526,East Lane Capital LLP,2021,April,357.65,0.11,3.68
527,East Lane Capital LLP,2021,May,387.73,0.11,8.41
528,East Lane Capital LLP,2021,June,533.49,0.1,6.45
529,East Lane Capital LLP,2021,July,554.76,0.07,2.51
530,EDELWEISS ASSET MANAGEMENT LIMITED,2021,March,1682.08,0.06,-2.71
531,EDELWEISS ASSET MANAGEMENT LIMITED,2021,April,1708.4,0.04,0.49
532,EDELWEISS ASSET MANAGEMENT LIMITED,2021,May,1741.61,0.08,1.38
533,EDELWEISS ASSET MANAGEMENT LIMITED,2021,June,806.26,0.06,0.36
534,EDELWEISS ASSET MANAGEMENT LIMITED,2021,July,802.91,0.02,1.04
535,EDELWEISS ASSET MANAGEMENT LIMITED,2021,March,1682.08,0.06,-2.71
536,EDELWEISS ASSET MANAGEMENT LIMITED,2021,April,1708.4,0.04,0.49
537,EDELWEISS ASSET MANAGEMENT LIMITED,2021,May,1741.61,0.08,1.38
538,EDELWEISS ASSET MANAGEMENT LIMITED,2021,June,806.26,0.06,0.36
539,EDELWEISS ASSET MANAGEMENT LIMITED,2021,July,802.91,0.02,1.04
540,EKLAVYA CAPITAL ADVISORS LLP,2021,March,6.59,0.02,-0.19
541,EKLAVYA CAPITAL ADVISORS LLP,2021,April,6.94,0.1,1.49
542,EKLAVYA CAPITAL ADVISORS LLP,2021,May,7.06,0.07,2.8
543,EKLAVYA CAPITAL ADVISORS LLP,2021,June,7.26,0.0,2.89
544,EKLAVYA CAPITAL ADVISORS LLP,2021,July,7.4,0.03,1.94
545,Eklavya Capital Advisors LLP,2021,March,6.59,0.02,-0.19
546,Eklavya Capital Advisors LLP,2021,April,6.94,0.1,1.49
547,Eklavya Capital Advisors LLP,2021,May,7.06,0.07,2.8
548,Eklavya Capital Advisors LLP,2021,June,7.26,0.0,2.89
549,Eklavya Capital Advisors LLP,2021,July,7.4,0.03,1.94
550,ELITE WEALTH ADVISORS LIMITED,2021,March,6.0819,0.035,-1.1618
551,Elite Wealth Advisors Limited,2021,March,6.0819,0.035,-1.1618
552,ELIXIR EQUITIES PVT. LTD.,2021,March,37.18,0.01,-1.19
553,ELIXIR EQUITIES PVT. LTD.,2021,March,37.18,0.01,-1.19
554,EMKAY INVESTMENT MANAGERS LIMITED,2021,March,265.13646,0.054,0.25
555,EMKAY INVESTMENT MANAGERS LIMITED,2021,April,271.166,0.031,1.6
556,EMKAY INVESTMENT MANAGERS LIMITED,2021,May,287.69492,0.019,1.17
557,EMKAY INVESTMENT MANAGERS LIMITED,2021,June,300.28903,0.027,1.36
558,EMKAY INVESTMENT MANAGERS LIMITED,2021,July,311.94051,0.023,1.21
559,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,April,23526.10995,0.015,1.01
560,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,May,25601.86981,0.006,9.53
561,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,June,26137.99689,0.003,3.37
562,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,July,27404.45081,0.006,6.16
563,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,March,23247.39972,0.017,3.76
564,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,April,23526.10995,0.015,1.01
565,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,May,25601.86981,0.006,9.53
566,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,June,26137.99689,0.003,3.37
567,ENAM ASSET MANAGEMENT CO.PVT.LTD,2021,July,27404.45081,0.006,6.16
568,Entrust Family Office Investment Advisors Private Limited,2021,March,340.52,0.09,0.62
569,Entrust Family Office Investment Advisors Private Limited,2021,April,343.68,0.0,0.93
570,Entrust Family Office Investment Advisors Private Limited,2021,May,363.41,0.03,8.78
571,Entrust Family Office Investment Advisors Private Limited,2021,June,391.93,0.03,5.37
572,Entrust Family Office Investment Advisors Private Limited,2021,July,400.14,0.02,1.25
573,ENVISION CAPITAL SERVICES PVT.LTD.,2021,March,50.1,0.0,-0.4
574,ENVISION CAPITAL SERVICES PVT.LTD.,2021,March,50.1,0.0,-0.4
575,EQUIRUS WEALTH PRIVATE LIMITED,2021,March,235.41,0.07,-5.85
576,EQUIRUS WEALTH PRIVATE LIMITED,2021,April,267.75,0.09,9.43
577,EQUIRUS WEALTH PRIVATE LIMITED,2021,June,358.87,0.03,9.46
578,EQUIRUS WEALTH PRIVATE LIMITED,2021,July,397.98,0.01,9.41
579,Equitree Capital Advisors Private Limited,2021,March,21.84,0.09,-1.81
580,Equitree Capital Advisors Private Limited,2021,April,23.16,0.06,6.41
581,Equitree Capital Advisors Private Limited,2021,May,29.17,0.05,19.05
582,Equitree Capital Advisors Private Limited,2021,June,32.02,0.06,4.31
583,Equitree Capital Advisors Private Limited,2021,July,34.71,0.03,4.96
584,EQUITY INTELLIGENCE INDIA PVT. LTD.,2021,March,1185.15,0.047,-0.48
585,EQUITY INTELLIGENCE INDIA PVT. LTD.,2021,April,1204.6,0.043,2.67
586,EQUITY INTELLIGENCE INDIA PVT. LTD.,2021,March,1185.15,0.047,-0.48
587,EQUITY INTELLIGENCE INDIA PVT. LTD.,2021,April,1204.6,0.043,2.67
588,ESCORP ASSET MANAGEMENT LIMITED,2021,March,1.297,0.1332,-5.785
589,ESCORP ASSET MANAGEMENT LIMITED,2021,April,1.29,0.0,-0.66
590,ESCORP ASSET MANAGEMENT LIMITED,2021,May,1.38,0.0,7.48
591,ESCORP ASSET MANAGEMENT LIMITED,2021,June,0.34,0.67,6.37
592,ESCORP ASSET MANAGEMENT LIMITED,2021,July,0.36,0.09,8.15
593,Escorp Asset Management Limited,2021,March,1.297,0.1332,-5.785
594,Escorp Asset Management Limited,2021,April,1.29,0.0,-0.66
595,Escorp Asset Management Limited,2021,May,1.38,0.0,7.48
596,Escorp Asset Management Limited,2021,June,0.34,0.67,6.37
597,Escorp Asset Management Limited,2021,July,0.36,0.09,8.15
598,ESTEE ADVISORS PVT LTD.,2021,March,502.19,19.11,5.5
599,ESTEE ADVISORS PVT LTD.,2021,April,518.98,18.72,4.55
600,ESTEE ADVISORS PVT LTD.,2021,May,523.49,15.08,4.69
601,ESTEE ADVISORS PVT LTD.,2021,June,518.61,14.31,5.15
602,ESTEE ADVISORS PVT LTD.,2021,July,516.44,10.81,4.77
603,Estee Advisors Pvt Ltd.,2021,March,502.19,19.11,5.5
604,Estee Advisors Pvt Ltd.,2021,April,518.98,18.72,4.55
605,Estee Advisors Pvt Ltd.,2021,May,523.49,15.08,4.69
606,Estee Advisors Pvt Ltd.,2021,June,518.61,14.31,5.15
607,Estee Advisors Pvt Ltd.,2021,July,516.44,10.81,4.77
608,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,2021,March,53519391.37,0.22626,-37.28
609,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,2021,April,4.8396,0.1758,-38.17
610,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,2021,May,4.8145,0.0,0.0
611,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,2021,June,5.0383,0.03764,0.0
612,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,2021,July,5.7952,0.08708,0.0
613,First Global Finance Pvt Ltd,2021,March,96.04,0.23,1.23
614,First Global Finance Pvt Ltd,2021,April,111.09,0.21,7.11
615,First Global Finance Pvt Ltd,2021,May,138.87,0.17,4.07
616,First Global Finance Pvt Ltd,2021,June,178.77,0.17,3.45
617,First Global Finance Pvt Ltd,2021,July,210.96,0.26,4.49
618,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,2021,March,90.76,0.02,3.94
619,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,2021,April,98.39,0.1,5.33
620,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,2021,May,105.25,0.03,6.47
621,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,2021,June,110.47,0.09,6.51
622,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,2021,July,119.59,0.04,7.38
623,Five Rivers Portfolio Managers Private Limited,2021,March,90.76,0.02,3.94
624,Five Rivers Portfolio Managers Private Limited,2021,April,98.39,0.1,5.33
625,Five Rivers Portfolio Managers Private Limited,2021,May,105.25,0.03,6.47
626,Five Rivers Portfolio Managers Private Limited,2021,June,110.47,0.09,6.51
627,Five Rivers Portfolio Managers Private Limited,2021,July,119.59,0.04,7.38
628,Fort Capital Investment Advisory Private Limited,2021,March,6.75,0.07,4.82
629,Fort Capital Investment Advisory Private Limited,2021,April,7.07,0.02,4.74
630,Fort Capital Investment Advisory Private Limited,2021,May,7.63,0.07,7.9
631,Fort Capital Investment Advisory Private Limited,2021,June,7.88,0.03,7.95
632,Fort Capital Investment Advisory Private Limited,2021,July,8.99,0.16,15.02
633,Fractal Capital Investments LLP,2021,March,2.55,0.24,0.0
634,Fractal Capital Investments LLP,2021,April,5.07,0.65,0.29
635,Fractal Capital Investments LLP,2021,May,7.42,0.49,5.31
636,Fractal Capital Investments LLP,2021,June,11.94,0.51,2.07
637,Fractal Capital Investments LLP,2021,July,16.52,0.09,3.5
638,Geojit BNP Paribas Financial Services Limited,2021,March,259.15,0.17,0.02
639,Geojit BNP Paribas Financial Services Limited,2021,April,265.16,0.1,6.32
640,Geojit BNP Paribas Financial Services Limited,2021,May,288.35,0.06,7.68
641,Geojit BNP Paribas Financial Services Limited,2021,June,293.73,0.21,3.76
642,Geojit BNP Paribas Financial Services Limited,2021,July,300.8,0.1,4.09
643,GEOJIT FINANCIAL SERVICES LIMITED,2021,March,259.15,0.17,0.02
644,GEOJIT FINANCIAL SERVICES LIMITED,2021,April,265.16,0.1,6.32
645,GEOJIT FINANCIAL SERVICES LIMITED,2021,May,288.35,0.06,7.68
646,GEOJIT FINANCIAL SERVICES LIMITED,2021,June,293.73,0.21,3.76
647,GEOJIT FINANCIAL SERVICES LIMITED,2021,July,300.8,0.1,4.09
648,GEOJIT FINANCIAL SERVICES LIMITED,2021,March,259.15,0.17,0.02
649,GEOJIT FINANCIAL SERVICES LIMITED,2021,April,265.16,0.1,6.32
650,GEOJIT FINANCIAL SERVICES LIMITED,2021,May,288.35,0.06,7.68
651,GEOJIT FINANCIAL SERVICES LIMITED,2021,June,293.73,0.21,3.76
